precio,tipo_inmueble,alcaldia,estado,m2,recamaras,banos,estacionamientos,url,fuente,precio_por_m2
9900.0,departamento,Azcapotzalco,Ciudad de México,65.0,1.0,1.0,,https://www.lamudi.com.mx/detalle/41032-73-850b2cbd67e7-14cc-19e8e51-b26c-7693,lamudi,152.30769230769232
17000.0,departamento,Azcapotzalco,Ciudad de México,70.0,2.0,2.0,2.0,https://www.lamudi.com.mx/detalle/41032-73-56a5e260e960-c8c7-19e8dd8-a9ee-739b,lamudi,242.85714285714286
85000.0,oficina,Benito Juárez,Ciudad de México,200.0,1.0,2.0,6.0,https://www.lamudi.com.mx/detalle/41032-73-8f0e3f39482f-fc88-1958c14-9a3c-7d83,lamudi,425.0
20600.0,oficina,Benito Juárez,Ciudad de México,8.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-dbcb7cbeec5c-7dc5-19c73b0-a7a1-75e7,lamudi,2575.0
55000.0,oficina,Benito Juárez,Ciudad de México,260.0,5.0,2.0,,https://www.lamudi.com.mx/detalle/41032-73-e3f06ef84eae-1c76-198ce5a-9fdc-7be3,lamudi,211.53846153846155
77300.0,oficina,Benito Juárez,Ciudad de México,30.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-ee5dde507823-53f3-19d7b40-83c9-7c14,lamudi,2576.6666666666665
45000.0,oficina,Benito Juárez,Ciudad de México,117.0,,,,https://www.lamudi.com.mx/detalle/41032-73-f8f476567d18-afa3-19d7b1e-b6a2-73f9,lamudi,384.61538461538464
28900.0,oficina,Benito Juárez,Ciudad de México,12.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-105f2cf07a72-6303-19d7b30-96d1-7930,lamudi,2408.3333333333335
28200.0,oficina,Benito Juárez,Ciudad de México,11.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-9b8bdad1f54f-5a02-19d7b58-aa44-771e,lamudi,2563.6363636363635
15000.0,oficina,Benito Juárez,Ciudad de México,40.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-5cf13303d8b6-5b08-19d7b22-8a81-7ea0,lamudi,375.0
62500.0,oficina,Benito Juárez,Ciudad de México,50.0,,8.0,,https://www.lamudi.com.mx/detalle/41032-73-f2a1c59d66a8-f6d0-19e4199-b34a-7afa,lamudi,1250.0
