precio,banda_precio,tipo_inmueble,demarcacion,colonia,cerca_alameda_oriente,m2,recamaras,banos,estacionamientos,tiene_estacionamiento,canal_contacto,publicado_por,url,fuentes
9000.0,$8–10k,departamento,Venustiano Carranza,Moctezuma,sí,47.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5746676016-renta-departamentos-moctezuma-2a-seccion-t-df0198-0121-_JM,,https://departamento.mercadolibre.com.mx/MLM-5746676016-renta-departamentos-moctezuma-2a-seccion-t-df0198-0121-_JM,mercadolibre
9500.0,$8–10k,departamento,Gustavo A. Madero,San Juan de Aragón,sí,55.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-1d2a6fc3a901-ddc6-19ede16-8c04-76a5,,https://www.lamudi.com.mx/detalle/41032-73-1d2a6fc3a901-ddc6-19ede16-8c04-76a5,lamudi
9500.0,$8–10k,departamento,Venustiano Carranza,Moctezuma,sí,26.0,1,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5593433524-loft-en-renta-moctezuma-2da-seccion-venustiano-carranza-_JM,,https://departamento.mercadolibre.com.mx/MLM-5593433524-loft-en-renta-moctezuma-2da-seccion-venustiano-carranza-_JM,mercadolibre
10000.0,$8–10k,casa,Gustavo A. Madero,Casas Alemán,sí,136.0,,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-b55f471d30f4-c943-ec42f4f3-9f9a-4936,,https://www.lamudi.com.mx/detalle/41032-73-b55f471d30f4-c943-ec42f4f3-9f9a-4936,lamudi
10500.0,$10–12k,departamento,Venustiano Carranza,Moctezuma,sí,52.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5731527326-renta-de-departamento-en-col-moctezuma-2-secc-venustiano-carranza-cdmx-_JM,,https://departamento.mercadolibre.com.mx/MLM-5731527326-renta-de-departamento-en-col-moctezuma-2-secc-venustiano-carranza-cdmx-_JM,mercadolibre
11000.0,$10–12k,departamento,Gustavo A. Madero,DM Nacional,sí,,2,1.0,1,sí,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-3b48f80a6699-c547-19e6faa-9a99-748b,,https://www.lamudi.com.mx/detalle/41032-73-3b48f80a6699-c547-19e6faa-9a99-748b,lamudi
11000.0,$10–12k,oficina,Venustiano Carranza,Peñón de los Baños,sí,65.0,,,1,sí,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-56db1db6c97e-989d-1986345-964f-710d,,https://www.lamudi.com.mx/detalle/41032-73-56db1db6c97e-989d-1986345-964f-710d,lamudi
11000.0,$10–12k,departamento,Iztacalco,Agrícola Oriental,sí,90.0,3,2.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-8376fdec33f4-2caa-19f2597-8ce5-7604,,https://www.lamudi.com.mx/detalle/41032-73-8376fdec33f4-2caa-19f2597-8ce5-7604,lamudi
11000.0,$10–12k,departamento,Gustavo A. Madero,Campestre Aragón,sí,55.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5534018536-bonito-departamento-2-recamaras-col-campestre-aragon-gam-_JM,,https://departamento.mercadolibre.com.mx/MLM-5534018536-bonito-departamento-2-recamaras-col-campestre-aragon-gam-_JM,mercadolibre
11000.0,$10–12k,departamento,Venustiano Carranza,Romero Rubio,sí,59.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5730679522-departamento-en-renta-en-jerusalen-90-col-romero-rubio-v-carranza-cdmx-_JM,,https://departamento.mercadolibre.com.mx/MLM-5730679522-departamento-en-renta-en-jerusalen-90-col-romero-rubio-v-carranza-cdmx-_JM,mercadolibre
11000.0,$10–12k,departamento,Iztacalco,Agrícola Oriental,sí,42.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5486622756-renta-departamentos-agricola-oriental-t-df0179-0191-_JM,,https://departamento.mercadolibre.com.mx/MLM-5486622756-renta-departamentos-agricola-oriental-t-df0179-0191-_JM,mercadolibre
11200.0,$10–12k,departamento,Gustavo A. Madero,DM Nacional,sí,57.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-41639a60c83d-bd8a-19f349a-aa0d-7cc6,,https://www.lamudi.com.mx/detalle/41032-73-41639a60c83d-bd8a-19f349a-aa0d-7cc6,lamudi
11500.0,$10–12k,departamento,Iztacalco,Agrícola Pantitlán,sí,83.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3092711101-departamento-en-renta-agricola-pantitlan-_JM,,https://departamento.mercadolibre.com.mx/MLM-3092711101-departamento-en-renta-agricola-pantitlan-_JM,mercadolibre
12000.0,$10–12k,departamento,Gustavo A. Madero,DM Nacional,sí,60.0,2,1.0,1,sí,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-ca0a270374bf-676a-19f6e8d-ad97-7553,,https://www.lamudi.com.mx/detalle/41032-73-ca0a270374bf-676a-19f6e8d-ad97-7553,lamudi
12000.0,$10–12k,oficina,Venustiano Carranza,Moctezuma,sí,45.0,2,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-85fcb02c99cd-2e8c-19be14a-8cdc-79b4,,https://www.lamudi.com.mx/detalle/41032-73-85fcb02c99cd-2e8c-19be14a-8cdc-79b4,lamudi
12000.0,$10–12k,departamento,Iztacalco,Agrícola Pantitlán,sí,50.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-c9712edb39d3-79b4-19f25b6-9a6e-7f80,,https://www.lamudi.com.mx/detalle/41032-73-c9712edb39d3-79b4-19f25b6-9a6e-7f80,lamudi
12000.0,$10–12k,departamento,Venustiano Carranza,Aviación Civil,sí,54.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3167190927-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0113-_JM,,https://departamento.mercadolibre.com.mx/MLM-3167190927-renta-departamentos-ampliacion-aviacion-civil-t-df0204-0113-_JM,mercadolibre
12500.0,$12–15k,departamento,Iztacalco,Puebla,sí,80.0,3,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-2978874717-renta-departamentos-puebla-t-df0204-0104-_JM,,https://departamento.mercadolibre.com.mx/MLM-2978874717-renta-departamentos-puebla-t-df0204-0104-_JM,mercadolibre
12500.0,$12–15k,departamento,Iztacalco,Agrícola Oriental,sí,70.0,3,2.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5750202244-se-renta-departamento-en-col-agricola-oriental-_JM,,https://departamento.mercadolibre.com.mx/MLM-5750202244-se-renta-departamento-en-col-agricola-oriental-_JM,mercadolibre
13000.0,$12–15k,departamento,Iztacalco,Agrícola Pantitlán,sí,49.0,2,1.0,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-446243649341-45ff-19e1ee4-bc5e-76b0,,https://www.lamudi.com.mx/detalle/41032-73-446243649341-45ff-19e1ee4-bc5e-76b0,lamudi
